40-622,1659442295107,64
40-622,1659442295108,62
40-622,1659442295113,72
40-622,1659442295114,80
40-622,1659442295115,62
40-622,1659442295115,56
40-622,1659442295115,76
40-622,1659442295115,80
40-622,1659442295116,56
40-622,1659442295117,78
40-622,1659442295117,80
40-622,1659442295198,56
40-622,1659442295199,70
40-622,1659442295199,78
40-622,1659442295199,76
40-622,1659442295199,58
40-622,1659442295199,58
40-622,1659442295241,62
40-622,1659442295242,72
40-622,1659442295245,52
40-622,1659442295245,68
40-622,1659442295282,74
40-622,1659442295283,76
40-622,1659442295283,62
40-622,1659442295283,62
40-622,1659442295289,64
40-622,1659442295290,66
40-622,1659442295314,74
40-622,1659442295367,68
40-622,1659442295367,64
40-622,1659442295367,68
40-622,1659442295367,54
40-622,1659442295367,58
40-622,1659442295368,68
40-622,1659442295371,56
40-622,1659442295371,60
40-622,1659442295380,80
40-622,1659442295381,62
40-622,1659442295451,54
40-622,1659442295451,68
40-622,1659442295451,74
40-622,1659442295451,78
40-622,1659442295471,58
40-622,1659442295471,74
40-622,1659442295493,64
40-622,1659442295494,58
40-622,1659442295496,80
40-622,1659442295497,72
40-622,1659442295515,70
40-622,1659442295535,54
40-622,1659442295535,76
40-622,1659442295535,56
40-622,1659442295536,64
40-622,1659442295562,64
40-622,1659442295563,54
40-622,1659442295619,62
40-622,1659442295619,78
40-622,1659442295619,70
40-622,1659442295619,54
40-622,1659442295619,60
40-622,1659442295620,76
40-622,1659442295622,80
40-622,1659442295623,78
40-622,1659442295653,66
40-622,1659442295653,64
40-622,1659442295703,64
40-622,1659442295703,78
40-622,1659442295704,54
40-622,1659442295704,54
40-622,1659442295716,56
40-622,1659442295744,72
40-622,1659442295744,76
40-622,1659442295746,64
40-622,1659442295746,56
40-622,1659442295748,74
40-622,1659442295748,60
40-622,1659442295787,72
40-622,1659442295787,70
40-622,1659442295788,70
40-622,1659442295788,76
40-622,1659442295835,70
40-622,1659442295835,66
40-622,1659442295871,72
40-622,1659442295871,52
40-622,1659442295872,64
40-622,1659442295872,72
40-622,1659442295872,78
40-622,1659442295872,60
40-622,1659442295874,74
40-622,1659442295874,58
40-622,1659442295917,74
40-622,1659442295930,70
40-622,1659442295930,72
40-622,1659442295955,66
40-622,1659442295955,60
40-622,1659442295956,56
40-622,1659442295956,64
40-622,1659442295998,66
40-622,1659442295998,58
40-622,1659442296000,58
40-622,1659442296000,66
40-622,1659442296021,56
40-622,1659442296022,58
40-622,1659442296040,68
40-622,1659442296040,74
40-622,1659442296040,70
40-622,1659442296040,64
40-622,1659442296114,62
40-622,1659442296118,78
40-622,1659442296118,76
40-622,1659442296124,58
40-622,1659442296124,68
40-622,1659442296127,52
40-622,1659442296127,70
40-622,1659442296127,80
40-622,1659442296127,54
40-622,1659442296124,52
40-622,1659442296138,78
40-622,1659442296209,68
40-622,1659442296211,54
40-622,1659442296212,60
40-622,1659442296212,64
40-622,1659442296212,64
40-622,1659442296214,52
40-622,1659442296256,68
40-622,1659442296256,76
40-622,1659442296256,62
40-622,1659442296264,76
40-622,1659442296295,78
40-622,1659442296296,62
40-622,1659442296297,72
40-622,1659442296298,74
40-622,1659442296300,72
40-622,1659442296304,74
40-622,1659442296323,52
40-622,1659442296379,56
40-622,1659442296380,66
40-622,1659442296381,74
40-622,1659442296382,74
40-622,1659442296382,58
40-622,1659442296382,72
40-622,1659442296382,78
40-622,1659442296391,60
40-622,1659442296394,68
40-622,1659442296398,58
40-622,1659442296463,60
40-622,1659442296464,56
40-622,1659442296465,76
40-622,1659442296465,68
40-622,1659442296482,64
40-622,1659442296485,56
40-622,1659442296508,68
40-622,1659442296508,72
40-622,1659442296508,76
40-622,1659442296524,74
40-622,1659442296524,62
40-622,1659442296547,74
40-622,1659442296548,78
40-622,1659442296549,66
40-622,1659442296549,76
40-622,1659442296573,74
40-622,1659442296576,74
40-622,1659442296631,58
40-622,1659442296631,74
40-622,1659442296632,60
40-622,1659442296633,78
40-622,1659442296633,54
40-622,1659442296634,64
40-622,1659442296634,80
40-622,1659442296649,58
40-622,1659442296664,80
40-622,1659442296667,52
40-622,1659442296716,78
40-622,1659442296716,78
40-622,1659442296716,64
40-622,1659442296717,52
40-622,1659442296725,66
40-622,1659442296755,74
40-622,1659442296758,66
40-622,1659442296759,60
40-622,1659442296760,54
40-622,1659442296760,64
40-622,1659442296775,78
40-622,1659442296800,78
40-622,1659442296800,58
40-622,1659442296800,58
40-622,1659442296801,52
40-622,1659442296846,80
40-622,1659442296849,68
40-622,1659442296884,70
40-622,1659442296884,70
40-622,1659442296884,80
40-622,1659442296884,68
40-622,1659442296885,78
40-622,1659442296886,56
40-622,1659442296886,62
40-622,1659442296901,62
40-622,1659442296926,72
40-622,1659442296937,52
